p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Coprothermobacteraceae	0.0520437180608979	0.424397375503399	0.555725192124572	0.555675635295672	0.748537708861433	0.981228503400236
Coriobacteriaceae	0.814179587282997	0.935097223532271	0.714412157884829	0.946162383537294	0.981790486494091	0.982489681381512
Corynebacteriaceae	0.315659207674885	0.175749354973069	0.408041938764487	0.668187530112093	0.642928444923854	0.981228503400236
Coxiellaceae	0.547121301380151	0.770950987749093	0.978296255725007	0.837435005010247	0.925876265839745	0.995122447934649
Crocinitomicaceae	0.757093220614531	0.278365164396489	0.217029315577926	0.939135860178025	0.660112368731179	0.981228503400236
Cryomorphaceae	0.58711296662619	0.245274394296203	0.603314229425875	0.839412400564549	0.659252614125743	0.981228503400236
Cryptococcaceae	0.851948925877055	0.86961867693808	0.970445593414128	0.953906302401895	0.946282214240443	0.995122447934649
Cuniculiplasmataceae	0.88967333548097	0.61286037504393	0.913039449578298	0.959656593224306	0.88328701572911	0.995122447934649
Cyanobacteriaceae	0.760343290686218	0.710613901582998	0.607174434466191	0.941021593382635	0.913550697985918	0.981228503400236
Cyanothecaceae	0.135055342939902	0.0296734862756397	0.0436987213484737	0.555675635295672	0.642928444923854	0.981228503400236
Cyclobacteriaceae	0.579720529015999	0.807831913447048	0.76452479707652	0.839412400564549	0.930606910877023	0.983061367593258
Cytophagaceae	0.461696902313801	0.99753915508318	0.764001631953851	0.79013149706647	0.99753915508318	0.983061367593258
Debaryomycetaceae	0.121746930454616	0.498787653632419	0.94946137436887	0.555675635295672	0.802713658323893	0.995122447934649
Deferribacteraceae	0.833601760860553	0.725856310717861	0.818541982492234	0.951410384511053	0.914777816247167	0.983061367593258
Dehalococcoidaceae	0.408753410912154	0.273965316112894	0.477304874144573	0.759703309170064	0.660112368731179	0.981228503400236
Deinococcaceae	0.0803802632692814	0.0581078163957654	0.132044586145748	0.555675635295672	0.642928444923854	0.981228503400236
Dermabacteraceae	0.23245668224479	0.09135047507431	0.193251619040988	0.602376051118662	0.642928444923854	0.981228503400236
Dermacoccaceae	0.118320900089969	0.155532995132968	0.274931411796632	0.555675635295672	0.642928444923854	0.981228503400236
Dermatophilaceae	0.734517969564277	0.20426044831266	0.491967866114836	0.933562710031397	0.642928444923854	0.981228503400236
Dermocarpellaceae	0.790207483059583	0.567759394801951	0.54059521885594	0.946162383537294	0.865754657267063	0.981228503400236
Desulfarculaceae	0.204699409375956	0.271451358762364	0.50401587684342	0.582596271268302	0.660112368731179	0.981228503400236
Desulfobacteraceae	0.221080422020019	0.17626512451299	0.45190943981998	0.602376051118662	0.642928444923854	0.981228503400236
Desulfobulbaceae	0.368741989381117	0.274333553604689	0.321419585371934	0.732178338627255	0.660112368731179	0.981228503400236
Desulfohalobiaceae	0.118236112269037	0.0266294483680599	0.0581919112097761	0.555675635295672	0.642928444923854	0.981228503400236
Desulfomicrobiaceae	0.0995622128627107	0.404848879472284	0.462576618037567	0.555675635295672	0.735120333778622	0.981228503400236
Desulfovibrionaceae	0.306448434825187	0.307503407387279	0.332747686860739	0.66077943759181	0.670856184548289	0.981228503400236
Desulfurellaceae	0.145010438827559	0.781559041415136	0.89597376721547	0.555675635295672	0.925876265839745	0.995122447934649
Desulfurobacteriaceae	0.822853426397948	0.348683626443337	0.457598520355974	0.949427463853648	0.680177762983802	0.981228503400236
Desulfurococcaceae	0.479117765953844	0.733398254384356	0.526992704270448	0.799989487210448	0.915918181946073	0.981228503400236
Desulfuromonadaceae	0.256052345581708	0.382066852317646	0.57376018977332	0.630986137326353	0.715531075038934	0.981228503400236
Dictyoglomaceae	0.547459598258658	0.653190051845152	0.788026936785678	0.837435005010247	0.892477496580504	0.983061367593258
Dietziaceae	0.650354454059696	0.562570311724561	0.685540630597901	0.884965661810297	0.862607811310993	0.981228503400236
