p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Bifidobacteriaceae	0.829112952577752	0.0790367063702334	0.100668320992974	0.976817676561108	0.990824850108649	0.994625559147417
Blattabacteriaceae	0.207427467170934	0.939698646869943	0.989638697123153	0.976817676561108	0.993622242825575	0.998377949715451
Bogoriellaceae	0.153920074915983	0.467714702684386	0.424821762627165	0.976817676561108	0.990824850108649	0.994625559147417
Borreliaceae	0.0965534695177734	0.920325320428876	0.9800196345831	0.976817676561108	0.993622242825575	0.996263053940831
Brachyspiraceae	0.225345214085375	0.683073472253653	0.722581704146157	0.976817676561108	0.990824850108649	0.994625559147417
Bradymonadaceae	0.193219527963582	0.651967453004159	0.57381701415173	0.976817676561108	0.990824850108649	0.994625559147417
Bradyrhizobiaceae	0.578616849909918	0.660615389112151	0.642881335126866	0.976817676561108	0.990824850108649	0.994625559147417
Brevibacteriaceae	0.431710842480006	0.987446338723612	0.939021651315254	0.976817676561108	0.993817700322839	0.996133053176863
Brucellaceae	0.848281311156746	0.922138731379558	0.945303243773248	0.976817676561108	0.993622242825575	0.996133053176863
Budviciaceae	0.829883734492506	0.292284370894681	0.286732471025348	0.976817676561108	0.990824850108649	0.994625559147417
Burkholderiaceae	0.518637308225315	0.677285681669007	0.652426305553398	0.976817676561108	0.990824850108649	0.994625559147417
Caedimonadaceae	0.96133610446116	0.583335968835241	0.52718985723062	0.989071615911659	0.990824850108649	0.994625559147417
Caldilineaceae	0.996256941166637	0.688166196968724	0.725031778517555	0.998890180302849	0.990824850108649	0.994625559147417
Caldisphaeraceae	0.0242768846107452	0.49948215499147	0.423234245243643	0.976817676561108	0.990824850108649	0.994625559147417
Calditrichaceae	0.137207913556852	0.588371848467118	0.565038699865711	0.976817676561108	0.990824850108649	0.994625559147417
Calotrichaceae	0.0457716091637477	0.892300175133204	0.809116846989463	0.976817676561108	0.993622242825575	0.994625559147417
Campylobacteraceae	0.426345410773591	0.323672227301004	0.304928856906378	0.976817676561108	0.990824850108649	0.994625559147417
Candidatus Brocadiaceae	0.650313414753723	0.555863014503188	0.684114099793484	0.976817676561108	0.990824850108649	0.994625559147417
Candidatus Deianiraeaceae	0.0839357120314754	0.764517376337171	0.848546827105885	0.976817676561108	0.990824850108649	0.994625559147417
Candidatus Methanomethylophilaceae	0.835955283368934	0.350084636791732	0.364440048676008	0.976817676561108	0.990824850108649	0.994625559147417
Candidatus Midichloriaceae	0.0984471328267182	0.438235985743268	0.399641821534209	0.976817676561108	0.990824850108649	0.994625559147417
Candidatus Nanopelagicaceae	0.144429830984438	0.621489143641466	0.697506390497863	0.976817676561108	0.990824850108649	0.994625559147417
Candidatus Nitrosocaldaceae	0.070056502201307	0.0294746884143796	0.0423984110393512	0.976817676561108	0.990824850108649	0.994625559147417
Candidatus Paracaedibacteraceae	0.517886192266219	0.147034169777949	0.141881383483752	0.976817676561108	0.990824850108649	0.994625559147417
Cardiobacteriaceae	0.859492898897738	0.2686682590274	0.295660789841583	0.976817676561108	0.990824850108649	0.994625559147417
Carnobacteriaceae	0.265547548868332	0.681715076610422	0.7051601817452	0.976817676561108	0.990824850108649	0.994625559147417
Casimicrobiaceae	0.859848506176044	0.823327204448427	0.830432346009966	0.976817676561108	0.990824850108649	0.994625559147417
Catenulisporaceae	0.713967910021	0.788244238034237	0.812073429078566	0.976817676561108	0.990824850108649	0.994625559147417
Caulobacteraceae	0.695156268611016	0.719833610316738	0.717730666390283	0.976817676561108	0.990824850108649	0.994625559147417
